code,pop,cases
14000,152419,43
14500,127603,41
16700,133224,57
17200,248736,137
15990,274041,155
16260,260296,75
12380,242674,149
12850,210825,196
18500,59431,72
18250,81196,16
10750,382831,101
11520,96550,38
14170,201880,56
16350,216282,94
10500,181472,73
11650,345809,39
14100,14962,16
13800,67749,9
14900,231296,137
11720,61256,9
12930,160272,76
15950,75094,28
18050,74276,211
16550,156619,114
17420,183791,65
11570,380406,181
14700,40534,20
11800,77648,4
14650,207775,20
15240,94395,7
16150,42503,5
11450,107806,49
15900,167363,19
17550,98382,2
17150,232369,73
16950,107191,9
17100,47767,26
18350,51760,13
15050,87395,4
12700,9664,2
10900,79195,22
18450,219798,21
11500,174078,67
10550,34727,1
17400,6470,3
15350,30785,10
14400,23685,1
10250,45217,4
17000,23380,1
17310,62545,3
16380,85952,1
18400,54005,15
15850,6460,1
13310,31554,5
12390,54044,1
17750,65770,6
10130,0,3
10650,8784,3
12750,38952,7
16900,74622,4
16400,74506,10
11250,17269,2
14350,29921,1
11300,40866,16
13550,12690,1
15300,13077,1
14870,21516,1
10050,55055,3
14850,43667,1
11350,35773,2
13010,8873,1
89399,431380,29
